Taxa, Bantu_chrY_reduced.fasta, STL624_CMOS.tnt, BantuBantoid_Culture_MX.nexus
Outgroup_Testudinata_Chrysemys_picta, -, +, -
Gekkota_Gekkonidae_Hemidactylus_longicephalus, -, +, -
N44Sena, +, -, -
J62Rundi, +, -, -
Iguania_Chamaeleonidae_Chamaeleo_dilepis, -, +, -
Scincomorpha_Teiidae_Cnemidophorus_lemniscatus, -, +, -
Scincomorpha_Teiidae_Kentropyx_calcarata, -, +, -
Gekkota_Sphaerodactylidae_Gonatodes_alexandermendesi, -, +, -
Serpentes_Scolecophidia_Anomalepididae_Liotyphlops_albirostris, -, +, -
C57Likile, +, -, -
Gekkota_Pygopodidae_Aprasia_parapulchella, -, +, -
Scincomorpha_Gymnophthalmidae_Heterodactylus_imbricatus, -, +, -
Scincomorpha_Scincidae_Acontias_kgalagadi, -, +, -
Serpentes_Alethinophidia_Elapidae_Bungarus_multicinctus, -, +, -
F22Nyamwezi, +, -, -
Iguania_Phrynosomatidae_Petrosaurus_thalassinus, -, +, -
Scincomorpha_Scincidae_Plestiodon_brevirostris, -, +, -
Gekkota_Eublepharidae_Goniurosaurus_luii, -, +, -
Gekkota_Gekkonidae_Phelsuma_rosagularis, -, +, -
Gekkota_Gekkonidae_Gekko_gecko, -, +, -
Iguania_Leiocephalidae_Leiocephalus_carinatus, -, +, -
Gekkota_Gekkonidae_Hemidactylus_platyurus, -, +, -
802Tiv, +, -, -
Anguimorpha_Anguidae_Abronia_graminea, -, +, -
Scincomorpha_Gerrhosauridae_Cordylosaurus_subtesselatus, -, +, -
Gekkota_Sphaerodactylidae_Gonatodes_annularis, -, +, -
Serpentes_Alethinophidia_Xenodermidae_Xenodermus_javanicus, -, +, -
Scincomorpha_Scincidae_Acontias_cregoi, -, +, -
Gekkota_Gekkonidae_Narudasia_festiva, -, +, -
Iguania_Chamaeleonidae_Chamaeleo_monachus, -, +, -
Scincomorpha_Scincidae_Lygisaurus_novaeguineae, -, +, -
Scincomorpha_Gymnophthalmidae_Leposoma_scincoides, -, +, -
Scincomorpha_Scincidae_Acontias_gariepensis, -, +, -
Gekkota_Phyllodactylidae_Tarentola_deserti, -, +, -
Scincomorpha_Scincidae_Plestiodon_reynoldsi, -, +, -
G34Ngulu, +, -, -
Gekkota_Gekkonidae_Hemidactylus_turcicus, -, +, -
Serpentes_Alethinophidia_Viperidae_Bitis_gabonica, -, +, -
Anguimorpha_Anguidae_Abronia_aurita, -, +, -
Iguania_Agamidae_Xenagama_taylori, -, +, -
Outgroup_Crocodylia_Alligator_mississippiensis, -, +, -
Gekkota_Sphaerodactylidae_Aristelliger_georgeensis, -, +, -
Gekkota_Gekkonidae_Lygodactylus_bradfieldi, -, +, -
Scincomorpha_Lacertidae_Phoenicolacerta_kulzeri, -, +, -
Scincomorpha_Scincidae_Acontias_plumbeus, -, +, -
Gekkota_Eublepharidae_Coleonyx_brevis, -, +, -
P311Makwa, +, -, -
Iguania_Agamidae_Laudakia_stellio, -, +, -
Scincomorpha_Scincidae_Scincella_potanini, -, +, -
Scincomorpha_Teiidae_Cnemidophorus_ocellifer, -, +, -
Gekkota_Phyllodactylidae_Phyllodactylus_bordai, -, +, -
B251Kota, +, -, -
Scincomorpha_Scincidae_Pygomeles_braconnieri, -, +, -
Scincomorpha_Scincidae_Scelotes_mirus, -, +, -
Iguania_Tropiduridae_Plica_plica, -, +, -
Gekkota_Phyllodactylidae_Gymnodactylus_amarali, -, +, -
Dibamia_Dibamidae_Dibamus_greeri, -, +, -
Scincomorpha_Gymnophthalmidae_Gymnophthalmus_underwoodi, -, +, -
Iguania_Agamidae_Tympanocryptis_lineata, -, +, -
C613Mongo, +, -, -
Iguania_Polychrotidae_Anolis_petersii, -, +, -
R31Herero, +, -, +
H314Yaka, +, -, -
Iguania_Leiolepididae_Leiolepis_guentherpetersi, -, +, -
Gekkota_Gekkonidae_Chondrodactylus_bibronii, -, +, -
Serpentes_Alethinophidia_Viperidae_Daboia_russellii, -, +, -
Iguania_Phrynosomatidae_Sceloporus_ochoterenae, -, +, -
Serpentes_Alethinophidia_Pythonidae_Python_molurus, -, +, -
Iguania_Corytophanidae_Basiliscus_plumifrons, -, +, -
Scincomorpha_Scincidae_Emoia_jakati, -, +, -
Scincomorpha_Scincidae_Scincus_scincus, -, +, -
Scincomorpha_Scincidae_Scelotes_sexlineatus, -, +, -
Serpentes_Alethinophidia_Colubridae_Calamaria_pavimentata, -, +, -
Gekkota_Sphaerodactylidae_Aristelliger_praesignis, -, +, -
Scincomorpha_Xantusiidae_Lepidophyma_flavimaculatum, -, +, -
Gekkota_Gekkonidae_Rhoptropella_ocellata, -, +, -
Iguania_Polychrotidae_Anolis_sericeus, -, +, -
M42Bemba, +, -, -
Iguania_Polychrotidae_Polychrus_marmoratus, -, +, -
Gekkota_Sphaerodactylidae_Gonatodes_humeralis, -, +, -
H32Suku, +, -, -
Scincomorpha_Scincidae_Eumeces_schneideri, -, +, -
Anguimorpha_Anguidae_Anguis_fragilis, -, +, -
Scincomorpha_Xantusiidae_Lepidophyma_sylvaticum, -, +, -
Iguania_Phrynosomatidae_Urosaurus_ornatus, -, +, -
Gekkota_Gekkonidae_Hemidactylus_palaichthus, -, +, -
Gekkota_Sphaerodactylidae_Quedenfeldtia_trachyblepharus, -, +, -
Iguania_Leiosauridae_Enyalius_leechii, -, +, -
Iguania_Agamidae_Phrynocephalus_mystaceus, -, +, -
Gekkota_Gekkonidae_Hemidactylus_robustus, -, +, -
Gekkota_Diplodactylidae_Pseudothecadactylus_lindneri, -, +, -
Iguania_Chamaeleonidae_Chamaeleo_calyptratus, -, +, -
S33Sotho, +, -, -
Serpentes_Alethinophidia_Lamprophiidae_Lamprophis_aurora, -, +, -
Scincomorpha_Scincidae_Plestio
