Taxa, Bantu_chrY_reduced.fasta, STL624_CMOS.tnt, BantuBantoid_Culture_MX.nexus
Iguania_Chamaeleonidae_Chamaeleo_calcaricarens, -, +, -
Gekkota_Pygopodidae_Delma_borea, -, +, -
H312YakaKasongo, +, -, -
Serpentes_Alethinophidia_Boidae_Sanzinia_madagascariensis, -, +, -
Gekkota_Pygopodidae_Pletholax_gracilis, -, +, -
Gekkota_Gekkonidae_Hemidactylus_macropholis, -, +, -
Gekkota_Pygopodidae_Lialis_burtonis, -, +, -
Serpentes_Alethinophidia_Boidae_Epicrates_striatus, -, +, -
Iguania_Phrynosomatidae_Cophosaurus_texanus, -, +, -
Iguania_Iguanidae_Brachylophus_fasciatus, -, +, -
Scincomorpha_Scincidae_Feylinia_polylepis, -, +, -
Scincomorpha_Scincidae_Lepidothyris_fernandi, -, +, -
H16i4Sundi, +, -, -
Iguania_Corytophanidae_Corytophanes_hernandesii, -, +, -
Serpentes_Alethinophidia_Viperidae_Agkistrodon_contortrix, -, +, -
Anguimorpha_Shinisauridae_Shinisaurus_crocodilurus, -, +, -
S34Lozi, +, -, -
Gekkota_Diplodactylidae_Rhacodactylus_ciliatus, -, +, -
Iguania_Tropiduridae_Uracentron_flaviceps, -, +, -
Scincomorpha_Scincidae_Tiliqua_scincoides, -, +, -
Gekkota_Pygopodidae_Pygopus_lepidopodus, -, +, -
Iguania_Liolaemidae_Liolaemus_alticolor, -, +, -
Serpentes_Alethinophidia_Lamprophiidae_Lycophidion_capense, -, +, -
Scincomorpha_Gymnophthalmidae_Colobosaura_modesta, -, +, -
Gekkota_Gekkonidae_Pachydactylus_punctatus, -, +, -
Serpentes_Scolecophidia_Typhlopidae_Gerrhopilus_mirus, -, +, -
Scincomorpha_Teiidae_Callopistes_maculatus, -, +, -
Scincomorpha_Scincidae_Plestiodon_obsoletus, -, +, -
Iguania_Uromastycidae_Uromastyx_benti, -, +, -
Scincomorpha_Gymnophthalmidae_Micrablepharus_maximiliani, -, +, -
Scincomorpha_Xantusiidae_Xantusia_henshawi, -, +, -
K11Ciokwe, +, -, -
J16Soga, +, -, -
Anguimorpha_Anguidae_Anniella_pulchra, -, +, -
N31aNyanja, +, -, -
M641Tonga, +, -, -
Serpentes_Alethinophidia_Lamprophiidae_Aparallactus_modestus, -, +, -
Scincomorpha_Lacertidae_Podarcis_siculus, -, +, -
Serpentes_Alethinophidia_Aniliidae_Anilius_scytale, -, +, -
Gekkota_Carphodactylidae_Underwoodisaurus_milii, -, +, -
B735Teke, +, -, -
Iguania_Tropiduridae_Microlophus_albemarlensis, -, +, -
Iguania_Crotaphytidae_Gambelia_wislizenii, -, +, -
R22Ndonga, +, -, -
Serpentes_Alethinophidia_Boidae_Calabaria_reinhardtii, -, +, -
Anguimorpha_Varanidae_Varanus_niloticus, -, +, -
Amphisbaenia_Rhineuridae_Rhineura_floridana, -, +, -
Iguania_Agamidae_Calotes_versicolor, -, +, -
Scincomorpha_Gymnophthalmidae_Arthrosaura_reticulata, -, +, -
Anguimorpha_Anguidae_Ophisaurus_koellikeri, -, +, -
Gekkota_Sphaerodactylidae_Gonatodes_ceciliae, -, +, -
Gekkota_Gekkonidae_Heteronotia_binoei, -, +, -
Anguimorpha_Xenosauridae_Xenosaurus_grandis, -, +, -
Anguimorpha_Helodermatidae_Heloderma_horridum, -, +, -
Iguania_Chamaeleonidae_Furcifer_oustaleti, -, +, -
Anguimorpha_Anguidae_Diploglossus_bilobatus, -, +, -
